order_id,order_date,customer_id,campaign_phase,customer_type,acquisition_channel,primary_product,footwear_revenue,adjacent_product_revenue,total_order_revenue,units,email_opt_in,sms_opt_in,returned
ORD0000001,2026-01-05,C000886,Pre-campaign,Existing,Affiliate,Sense Ride,140.11,0.0,140.11,1,False,True,False
ORD0000002,2026-01-05,C001345,Pre-campaign,Existing,Paid Search,Speedcross,128.28,47.01,175.29,2,True,False,False
ORD0000003,2026-01-05,C000070,Pre-campaign,Existing,Direct,Sense Ride,141.54,155.95,297.49,3,True,True,False
ORD0000004,2026-01-05,C002883,Pre-campaign,Existing,Direct,Sense Ride,127.37,0.0,127.37,1,False,True,False
ORD0000005,2026-01-05,C003501,Pre-campaign,New,Direct,Speedcross,158.47,0.0,158.47,1,True,False,False
ORD0000006,2026-01-05,C003016,Pre-campaign,Existing,Email,Trail Apparel,0.0,104.6,104.6,1,True,False,False
ORD0000007,2026-01-05,C000410,Pre-campaign,Existing,Email,Genesis,175.98,0.0,175.98,1,False,False,False
ORD0000008,2026-01-05,C003502,Pre-campaign,New,Paid Social,Genesis,167.41,0.0,167.41,1,True,False,False
ORD0000009,2026-01-05,C003503,Pre-campaign,New,Email,Trail Apparel,0.0,46.9,46.9,1,True,False,False
ORD0000010,2026-01-05,C003504,Pre-campaign,New,Affiliate,Speedcross,134.98,0.0,134.98,1,True,False,False
ORD0000011,2026-01-05,C001737,Pre-campaign,Existing,Direct,Sense Ride,127.17,0.0,127.17,1,False,False,False
ORD0000012,2026-01-05,C002999,Pre-campaign,Existing,Organic,Trail Accessories,0.0,54.65,54.65,1,True,False,False
ORD0000013,2026-01-05,C002209,Pre-campaign,Existing,Paid Search,Speedcross,173.37,0.0,173.37,1,False,False,False
ORD0000014,2026-01-05,C002266,Pre-campaign,Existing,Direct,Sense Ride,132.94,0.0,132.94,1,False,False,False
ORD0000015,2026-01-05,C002403,Pre-campaign,Existing,Email,Sense Ride,133.84,0.0,133.84,1,True,False,False
